Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.4
Sample Interval,0.00640342
Filter Frequency,2e+08
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Label,
TIME,CH1
-3.202e+00,2.44
-3.195e+00,2.44
-3.189e+00,2.44
-3.182e+00,2.44
-3.176e+00,2.44
-3.170e+00,2.44
-3.163e+00,2.44
-3.157e+00,2.44
-3.150e+00,2.44
-3.144e+00,2.44
-3.138e+00,2.44
-3.131e+00,2.44
-3.125e+00,2.44
-3.118e+00,2.44
-3.112e+00,2.44
-3.106e+00,2.44
-3.099e+00,2.42
-3.093e+00,2.44
-3.086e+00,2.42
-3.080e+00,2.44
-3.074e+00,2.42
-3.067e+00,2.4
-3.061e+00,2.4
-3.054e+00,2.4
-3.048e+00,2.38
-3.042e+00,2.4
-3.035e+00,2.4
-3.029e+00,2.38
-3.022e+00,2.4
-3.016e+00,2.38
-3.010e+00,2.38
-3.003e+00,2.38
-2.997e+00,2.38
-2.990e+00,2.36
-2.984e+00,2.34
-2.978e+00,2.36
-2.971e+00,2.36
-2.965e+00,2.36
-2.958e+00,2.36
-2.952e+00,2.34
-2.946e+00,2.34
-2.939e+00,2.32
-2.933e+00,2.34
-2.926e+00,2.32
-2.920e+00,2.32
-2.914e+00,2.32
-2.907e+00,2.32
-2.901e+00,2.32
-2.894e+00,2.32
-2.888e+00,2.32
-2.882e+00,2.3
-2.875e+00,2.32
-2.869e+00,2.3
-2.862e+00,2.3
-2.856e+00,2.3
-2.850e+00,2.3
-2.843e+00,2.3
-2.837e+00,2.3
-2.830e+00,2.28
-2.824e+00,2.28
-2.818e+00,2.28
-2.811e+00,2.28
-2.805e+00,2.28
-2.798e+00,2.26
-2.792e+00,2.26
-2.785e+00,2.26
-2.779e+00,2.26
-2.773e+00,2.26
-2.766e+00,2.24
-2.760e+00,2.26
-2.753e+00,2.24
-2.747e+00,2.26
-2.741e+00,2.24
-2.734e+00,2.22
-2.728e+00,2.24
-2.721e+00,2.22
-2.715e+00,2.24
-2.709e+00,2.22
-2.702e+00,2.22
-2.696e+00,2.2
-2.689e+00,2.22
-2.683e+00,2.22
-2.677e+00,2.2
-2.670e+00,2.22
-2.664e+00,2.22
-2.657e+00,2.2
-2.651e+00,2.22
-2.645e+00,2.2
-2.638e+00,2.2
-2.632e+00,2.2
-2.625e+00,2.18
-2.619e+00,2.2
-2.613e+00,2.16
-2.606e+00,2.18
-2.600e+00,2.18
-2.593e+00,2.18
-2.587e+00,2.18
-2.581e+00,2.18
-2.574e+00,2.16
-2.568e+00,2.16
-2.561e+00,2.16
-2.555e+00,2.18
-2.549e+00,2.16
-2.542e+00,2.14
-2.536e+00,2.16
-2.529e+00,2.16
-2.523e+00,2.16
-2.517e+00,2.16
-2.510e+00,2.16
-2.504e+00,2.14
-2.497e+00,2.14
-2.491e+00,2.14
-2.485e+00,2.14
-2.478e+00,2.14
-2.472e+00,2.14
-2.465e+00,2.12
-2.459e+00,2.14
-2.453e+00,2.12
-2.446e+00,2.12
-2.440e+00,2.12
-2.433e+00,2.12
-2.427e+00,2.12
-2.420e+00,2.12
-2.414e+00,2.1
-2.408e+00,2.12
-2.401e+00,2.12
-2.395e+00,2.1
-2.388e+00,2.1
-2.382e+00,2.1
-2.376e+00,2.1
-2.369e+00,2.1
-2.363e+00,2.1
-2.356e+00,2.1
-2.350e+00,2.08
-2.344e+00,2.08
-2.337e+00,2.08
-2.331e+00,2.08
-2.324e+00,2.08
-2.318e+00,2.08
-2.312e+00,2.06
-2.305e+00,2.08
-2.299e+00,2.08
-2.292e+00,2.08
-2.286e+00,2.06
-2.280e+00,2.08
-2.273e+00,2.08
-2.267e+00,2.08
-2.260e+00,2.04
-2.254e+00,2.06
-2.248e+00,2.04
-2.241e+00,2.06
-2.235e+00,2.04
-2.228e+00,2.06
-2.222e+00,2.04
-2.216e+00,2.04
-2.209e+00,2.04
-2.203e+00,2.04
-2.196e+00,2.02
-2.190e+00,2.04
-2.184e+00,2.04
-2.177e+00,2.02
-2.171e+00,2.04
-2.164e+00,2.02
-2.158e+00,2.04
-2.152e+00,2.02
-2.145e+00,2.02
-2.139e+00,2.02
-2.132e+00,2.02
-2.126e+00,2.02
-2.120e+00,2.02
-2.113e+00,2.02
-2.107e+00,2
-2.100e+00,2.02
-2.094e+00,2.02
-2.088e+00,2.02
-2.081e+00,2.02
-2.075e+00,2
-2.068e+00,2
-2.062e+00,2.02
-2.055e+00,2.02
-2.049e+00,2.02
-2.043e+00,2
-2.036e+00,2
-2.030e+00,1.98
-2.023e+00,2
-2.017e+00,2
-2.011e+00,2
-2.004e+00,1.98
-1.998e+00,1.98
-1.991e+00,1.98
-1.985e+00,1.98
-1.979e+00,1.98
-1.972e+00,1.96
-1.966e+00,1.98
-1.959e+00,1.96
-1.953e+00,1.98
-1.947e+00,1.96
-1.940e+00,1.98
-1.934e+00,1.96
-1.927e+00,1.98
-1.921e+00,1.98
-1.915e+00,1.96
-1.908e+00,1.96
-1.902e+00,1.96
-1.895e+00,1.96
-1.889e+00,1.96
-1.883e+00,1.96
-1.876e+00,1.96
-1.870e+00,1.96
-1.863e+00,1.96
-1.857e+00,1.96
-1.851e+00,1.94
-1.844e+00,1.96
-1.838e+00,1.96
-1.831e+00,1.94
-1.825e+00,1.94
-1.819e+00,1.96
-1.812e+00,1.94
-1.806e+00,1.94
-1.799e+00,1.94
-1.793e+00,1.94
-1.787e+00,1.92
-1.780e+00,1.92
-1.774e+00,1.94
-1.767e+00,1.92
-1.761e+00,1.92
-1.755e+00,1.94
-1.748e+00,1.94
-1.742e+00,1.92
-1.735e+00,1.94
-1.729e+00,1.92
-1.723e+00,1.94
-1.716e+00,1.9
-1.710e+00,1.92
-1.703e+00,1.92
-1.697e+00,1.9
-1.691e+00,1.92
-1.684e+00,1.92
-1.678e+00,1.92
-1.671e+00,1.92
-1.665e+00,1.92
-1.658e+00,1.92
-1.652e+00,1.92
-1.646e+00,1.92
-1.639e+00,1.9
-1.633e+00,1.9
-1.626e+00,1.92
-1.620e+00,1.9
-1.614e+00,1.9
-1.607e+00,1.92
-1.601e+00,1.9
-1.594e+00,1.9
-1.588e+00,1.9
-1.582e+00,1.9
-1.575e+00,1.9
-1.569e+00,1.9
-1.562e+00,1.9
-1.556e+00,1.9
-1.550e+00,1.9
-1.543e+00,1.88
-1.537e+00,1.9
-1.530e+00,1.88
-1.524e+00,1.88
-1.518e+00,1.9
-1.511e+00,1.9
-1.505e+00,1.88
-1.498e+00,1.9
-1.492e+00,1.86
-1.486e+00,1.88
-1.479e+00,1.88
-1.473e+00,1.88
-1.466e+00,1.86
-1.460e+00,1.9
-1.454e+00,1.88
-1.447e+00,1.86
-1.441e+00,1.86
-1.434e+00,1.88
-1.428e+00,1.88
-1.422e+00,1.86
-1.415e+00,1.86
-1.409e+00,1.86
-1.402e+00,1.86
-1.396e+00,1.86
-1.390e+00,1.86
-1.383e+00,1.86
-1.377e+00,1.86
-1.370e+00,1.86
-1.364e+00,1.86
-1.358e+00,1.86
-1.351e+00,1.84
-1.345e+00,1.84
-1.338e+00,1.86
-1.332e+00,1.86
-1.326e+00,1.86
-1.319e+00,1.86
-1.313e+00,1.84
-1.306e+00,1.86
-1.300e+00,1.86
-1.293e+00,1.84
-1.287e+00,1.86
-1.281e+00,1.84
-1.274e+00,1.84
-1.268e+00,1.84
-1.261e+00,1.84
-1.255e+00,1.84
-1.249e+00,1.84
-1.242e+00,1.84
-1.236e+00,1.84
-1.229e+00,1.82
-1.223e+00,1.84
-1.217e+00,1.84
-1.210e+00,1.84
-1.204e+00,1.84
-1.197e+00,1.84
-1.191e+00,1.84
-1.185e+00,1.84
-1.178e+00,1.84
-1.172e+00,1.82
-1.165e+00,1.82
-1.159e+00,1.84
-1.153e+00,1.84
-1.146e+00,1.82
-1.140e+00,1.82
-1.133e+00,1.82
-1.127e+00,1.82
-1.121e+00,1.8
-1.114e+00,1.8
-1.108e+00,1.82
-1.101e+00,1.82
-1.095e+00,1.82
-1.089e+00,1.82
-1.082e+00,1.82
-1.076e+00,1.8
-1.069e+00,1.82
-1.063e+00,1.82
-1.057e+00,1.82
-1.050e+00,1.82
-1.044e+00,1.8
-1.037e+00,1.82
-1.031e+00,1.8
-1.025e+00,1.82
-1.018e+00,1.82
-1.012e+00,1.82
-1.005e+00,1.82
-9.989e-01,1.8
-9.925e-01,1.8
-9.861e-01,1.8
-9.797e-01,1.8
-9.733e-01,1.82
-9.669e-01,1.8
-9.605e-01,1.8
-9.541e-01,1.82
-9.477e-01,1.8
-9.413e-01,1.8
-9.349e-01,1.82
-9.285e-01,1.8
-9.221e-01,1.82
-9.157e-01,1.8
-9.093e-01,1.82
-9.029e-01,1.82
-8.965e-01,1.8
-8.901e-01,1.78
-8.837e-01,1.8
-8.773e-01,1.8
-8.709e-01,1.8
-8.645e-01,1.8
-8.581e-01,1.78
-8.517e-01,1.8
-8.453e-01,1.78
-8.388e-01,1.78
-8.324e-01,1.8
-8.260e-01,1.78
-8.196e-01,1.78
-8.132e-01,1.76
-8.068e-01,1.76
-8.004e-01,1.78
-7.940e-01,1.78
-7.876e-01,1.8
-7.812e-01,1.8
-7.748e-01,1.78
-7.684e-01,1.76
-7.620e-01,1.8
-7.556e-01,1.76
-7.492e-01,1.78
-7.428e-01,1.78
-7.364e-01,1.78
-7.300e-01,1.78
-7.236e-01,1.76
-7.172e-01,1.76
-7.108e-01,1.78
-7.044e-01,1.76
-6.980e-01,1.78
-6.916e-01,1.76
-6.852e-01,1.78
-6.788e-01,1.76
-6.724e-01,1.76
-6.660e-01,1.78
-6.596e-01,1.76
-6.531e-01,1.78
-6.467e-01,1.76
-6.403e-01,1.76
-6.339e-01,1.76
-6.275e-01,1.76
-6.211e-01,1.76
-6.147e-01,1.78
